MN,HD,HR,HIP,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,pmRA,pmDec,RadVel,Parallax,Vmag,B-V,SpType,IsMultiple,IsVariable,UpdateName
4251,139906,5835,0,HD 139906,HD 139906/HR 5835,,,,,234.64291666666668,50.42333333333333,5.0,-38.0,-14.0,,5.84,0.83,G8III,0.0,0.0,
4252,141194,5871,0,HD 141194,HD 141194/HR 5871,,,,,237.48958333333331,-48.91194444444445,-32.0,-1.0,12.0,,5.84,0.07,A1V,0.0,0.0,
4253,147723,6106,0,HD 147723,HD 147723/HR 6106,,,,,246.16541666666663,-29.704722222222223,66.0,-80.0,-3.0,36.0,5.84,0.59,G0IV,1.0,0.0,
4254,155035,6374,0,HD 155035,HD 155035/HR 6374,,,,,257.9120833333333,-48.87416666666667,29.0,-30.0,15.0,,5.84,1.84,M1-2III,0.0,0.0,
4255,158799,6523,0,HD 158799,HD 158799/HR 6523,,,,,263.2808333333333,-41.17361111111111,4.0,-24.0,-19.0,,5.84,0.06,B9Ib-II,0.0,0.0,
4256,162391,6648,0,HD 162391,HD 162391/HR 6648,,,,,268.08208333333334,-34.416666666666664,-1.0,3.0,-21.0,,5.84,1.13,G8III,0.0,0.0,
4257,171245,6966,0,HD 171245,HD 171245/HR 6966,,,,,278.1925,23.61694444444445,10.0,16.0,-4.0,,5.84,1.46,gK5,0.0,0.0,
4258,172348,7007,91532,Σ 2350,HD 172348/HR 7007/Σ 2350,,,,,280.0020833333333,-7.790555555555556,4.0,-32.0,-23.0,,5.84,1.55,K4III,0.0,0.0,
4259,182694,7382,0,HD 182694,HD 182694/HR 7382,,,,,290.98541666666665,43.38805555555555,17.0,-25.0,0.0,,5.84,0.92,G7III-IIIa,0.0,0.0,
4260,186619,7514,0,HD 186619,HD 186619/HR 7514,,,,,295.93749999999994,41.77305555555555,16.0,10.0,-41.0,14.0,5.84,1.57,M0IIIab,0.0,0.0,
4261,193322,7767,100069,TAR 5,CHR 96/HD 193322/HR 7767/TAR 5/Σ 2666,,,,,304.5291666666667,40.73222222222223,1.0,-3.0,-7.0,7.0,5.84,0.1,O9V,0.0,0.0,
4262,219485,8844,0,HD 219485,HD 219485/HR 8844,,,,,348.6554166666667,74.23111111111112,48.0,6.0,-3.0,,5.84,,A0V,0.0,0.0,
4263,221861,8952,0,HD 221861,HD 221861/HR 8952,,,,,353.74583333333334,71.64222222222223,-4.0,0.0,-3.0,,5.84,1.8,G9Ib,0.0,0.0,
4264,645,31,0,HD 645,HD 645/HR 31,,,,,2.678333333333333,-12.58,150.0,-38.0,6.0,,5.85,1.01,K0IV,0.0,0.0,
4265,5384,263,0,HD 5384,HD 5384/HR 263,,,,,13.926666666666666,-7.347222222222222,-7.0,-46.0,2.0,,5.85,1.52,K5III,0.0,0.0,
4266,13336,632,0,HD 13336,HD 13336/HR 632,,,,,32.28875,-43.516666666666666,-48.0,-53.0,-26.0,,5.85,1.19,K1III,0.0,0.0,
4267,20640,998,0,HD 20640,HD 20640/HR 998,,,,,49.36083333333333,-47.751666666666665,-5.0,21.0,-9.0,,5.85,1.24,K2III,0.0,0.0,
4268,22675,1108,0,HD 22675,HD 22675/HR 1108,,,,,54.62166666666666,-7.3916666666666675,-9.0,-55.0,-30.0,,5.85,0.98,gG5,0.0,0.0,
4269,23523,1158,17891,CAR 1,CAR 1/HD 23523/HR 1158,,,,,57.40291666666666,63.29722222222222,-18.0,-51.0,-14.0,,5.85,0.18,A5Vn,0.0,0.0,
4270,27563,1363,20271,d Eri,HD 27563/HR 1363/d Eri,,,,Eri,65.17833333333333,-7.592499999999999,2.0,-1.0,11.0,,5.85,-0.13,B5III,0.0,1.0,
4271,34172,1716,23148,ξ Men,HD 34172/HR 1716/Xi Men/ξ Men,,ξ Men,,Men,74.71208333333334,-82.47055555555556,-11.0,4.0,-5.0,,5.85,0.93,G8-K0III,0.0,0.0,
