HD,HR,HIP,Name,OtherDesignations,ProperName,Bayer,Flamsteed,Constellation,RAJ2000,DecJ2000,Vmag,IsMultiple,UpdateName
82885,3815,47080,11 LMi,11 LMi/HU 1128,,,11 LMi,LMi,,,,0.0,
83023,3818,47096,7 Leo,7 Leo/H 5 58,,,7 Leo,Leo,,,,0.0,
83523,3841,47115,SHY 548,SHY 543/SHY 548,,,,,,,,0.0,
83083,0,47148,COU 386,CHR 248/COU 386,,,,,,,,0.0,
83446,3836,47175,M Vel,M Vel/RST 5335,,,,,,,,0.0,
83190,0,47196,LSC 122,LSC 122/Σ 1372,,,,,,,,0.0,
82969,0,47231,H 5 15,H 5 15/SHY 549,,,,,,,,0.0,
83287,3829,47300,42 Lyn,42 Lyn/SKF 2572,,,42 Lyn,Lyn,,,,0.0,
83452,0,47336,WAL 56,WAL 56/ΟΣ 204,,,,,,,,0.0,
83434,0,47352,OCC 701,DAM 1681/OCC 701,,,,,,,,0.0,
83509,0,47388,TOK 270,OCC 246/TOK 270,,,,,,,,0.0,
83650,3846,47427,37 Hya,37 Hya/CHR 175,,,37 Hya,Hya,,,,0.0,
83769,0,47480,RST 5337,PWS 4/RST 5337,,,,,,,,0.0,
84120,0,47520,HJ 4235,HJ 4235/SIN 45,,,,,,,,0.0,
83953,3858,47522,I Hya,H N 20/I Hya,,,,,,,,0.0,
83698,0,47527,ABT 7,ABT 7/Σ 1374,,,,,,,,0.0,
83973,0,47537,β 214,TOK 43/β 214,,,,,,,,0.0,
83951,3857,47631,13 LMi,13 LMi/TOK 530,,,13 LMi,LMi,,,,0.0,
83661,0,47669,MLR 323,MLB 405/MLR 323,,,,,,,,0.0,
84534,0,47736,HU 1468,HDS 1404/HU 1468,,,,,,,,0.0,
84367,3871,47758,θ Ant,θ Ant/φ 326,,θ Ant,,Ant,,,,0.0,
0,0,47851,SKF 478,COU 2085/SHY 551/SKF 478,,,,,,,,0.0,
84810,3884,47854,l Car,EVS 15/l Car,,,,,,,,0.0,
