;MN;HD;HR;HIP;Gl;Name;OtherDesignations;ProperName;Bayer;Flamsteed;Constellation;RAJ2000;DecJ2000;pmRA;pmDec;RadVel;Distance;Vmag;Vmag_min;Vmag_max;B-V;SpType;Luminosity;XJ2000;YJ2000;ZJ2000;VXJ2000;VYJ2000;VZJ2000;Primary;MultipleID;IsMultiple;IsVariable
77176;77177;33793;0;24186;Gl 191;Kapteyn's Star;Gl 191/HD 33793/HIP 24186/HYG 24129/Kapteyn's Star/MN 77177;Kapteyn's Star;;;Pic;5,194169;-45,018417;6506,05;-5731,39;245,5;3,9114;8,86;9,148;8,828;1,543;M0V;0,0038089037649813;0,578997;2,705174;-2,76822;-0,00025439;0,0001243;-9,951e-05;24129;;0;1
11068;11069;202560;0;105090;Gl 825;Lacaille 8760;Gl 825/HD 202560/HIP 105090/HYG 104750/Lacaille 8760/MN 11069;Lacaille 8760;;;Mic;21,287725;-38,867362;-3259,0;-1146,99;28,2;3,9462;6,69;6,707;6,667;1,397;M1/M2V;0,0286022369395428;2,330004;-2,003156;-2,476477;-3,518e-05;-5,295e-05;-3,405e-05;104751;;0;1
100984;100985;239960;0;110893;Gl 860A;Kruger 60;Gl 860A/HD 239960/HIP 110893/HYG 110546/Kruger 60/MN 100985;Kruger 60;;;Cep;22,466642;57,695875;-870,23;-471,1;-33,3;4,001;9,59;9,628;9,548;1,613;M2V;0,0020342297432117;1,968033;-0,83547;3,381486;-3,367e-05;-1,144e-05;-1,624e-05;110547;Gl 860;1;1
116503;116504;0;0;0;Gl 860B;Gl 860B;Gl 860B/HYG 119500/MN 116504;;;;Cep;22,467267;57,696623;-854,68;-391,3;-31,7;4,0077;11,3;;;1,8;M6 V;0,0004222795013061;1,97065;-0,836546;3,386059;-3,147e-05;-1,103e-05;-1,651e-05;110547;Gl 860;1;0
119347;119348;0;0;0;Gl 234B;Gl 234B;Gl 234B/HYG 118423/MN 119348;;;;Mon;6,489939;-2,812227;702,48;-697,59;0,0;4,1171;14,6;;;0,0;;2,13402744285e-05;-0,526003;4,078362;-0,201997;-1,391e-05;-2,47e-06;-1,382e-05;30847;Gl 234;1;0
115960;115961;0;0;30920;Gl 234A;Ross 614;Gl 234A/HIP 30920/HYG 30847/MN 115961/Ross 614;Ross 614;;;Mon;6,489833;-2,813979;694,73;-618,62;16,7;4,1268;11,12;11,176;11,066;1,69;M4,5Ve;0,0005286886658509;-0,527146;4,088126;-0,202607;-1,32e-05;1,454e-05;-1,589e-05;30847;Gl 234;1;1
117436;117437;0;0;82725;;HIP 82725;HIP 82725/HYG 82472/MN 117437;;;;Ara;16,908971;-62,403319;254,79;173,56;0,0;4,1465;11,72;12,005;11,545;0,0;;0,000307043565073;-0,541199;-1,843027;-3,674755;1,62e-06;-4,41e-06;4,04e-06;82473;;0;1
118334;118335;0;0;3829;Gl 35;Van Maanen's Star;Gl 35/HIP 3829/HYG 3820/MN 118335/Van Maanen's Star;Van Maanen's Star;;;Psc;0,819416;5,38861;1233,05;-2710,56;54,0;4,2626;12,37;12,621;12,091;0,554;DG;0,0001783199772233;4,146957;0,903519;0,400348;-5,057e-05;3,772e-05;5,345e-05;3820;;0;1
118774;118775;0;0;0;GJ 1061;GJ 1061;GJ 1061/HYG 118232/MN 118775;;;;Hor;3,599704;-44,511897;727,33;-399,86;-20,0;4,2918;13,03;;;1,9;M4,5;9,8446436398e-05;1,798507;2,475398;-3,00808;8,41e-06;-7,62e-06;-2,425e-05;118236;;0;0
109184;109185;0;0;80824;Gl 628;Wolf 1061;Gl 628/HIP 80824/HYG 80578/MN 109185/Wolf 1061;Wolf 1061;;;Oph;16,505017;-12,662594;-93,61;-1184,9;-13,0;4,2922;10,1;10,143;10,063;1,604;M4;0,0014628506869998;-1,597477;-3,871023;-0,940865;-2,114e-05;1,773e-05;5,21e-06;80579;;0;1
118777;118778;0;0;0;Gl 473A;Gl 473A;Gl 473A/HYG 118825/MN 118778;;;;Vir;12,554778;9,020714;-1794,92;233,12;0,0;4,3066;13,04;;;1,83;dM5,5eJ;9,8265258283e-05;-4,208555;-0,615564;0,675238;4,81e-06;3,719e-05;-4,68e-06;118830;Gl 473;1;0
118893;118894;0;0;0;Gl 473B;Gl 473B;Gl 473B/HYG 118826/MN 118894;;;;Vir;12,554778;9,020714;-1794,92;233,12;0,0;4,3066;13,3;;;0,0;M7;7,73392578049e-05;-4,208555;-0,615564;0,675238;4,81e-06;3,719e-05;-4,68e-06;118830;Gl 473;1;0
63991;63992;225213;0;439;Gl 1;HD 225213;Gl 1/HD 225213/HIP 439/HYG 442/MN 63992;;;;Scl;0,089883;-37,357364;5634,07;-2337,94;22,9;4,3399;8,56;;;1,462;M2V;0,0061773185859152;3,448844;0,081384;-2,633508;-5,331e-05;0,00011824;-1,398e-05;442;;0;0
115063;115064;0;0;0;GJ 3522;GJ 3522;GJ 3522/HYG 118578/MN 115064;;;;Cnc;8,982236;8,475397;322,61;-313,72;0,0;4,4643;10,89;;;1,67;k;0,0007648917910071;-3,107711;3,136747;0,657969;-6,72e-06;-4,2e-06;-5,66e-06;118583;;0;0
118260;118261;0;0;0;Gl 83,1;Gl 83,1;Gl 83,1/HYG 118097/MN 118261;;;;Ari;2,003563;13,05304;1113,71;-1768,54;-31,0;4,4683;12,28;;;1,8;dM8  e;0,0002130100037411;3,76629;2,179192;1,008821;-4,449e-05;9,76e-06;-3,131e-05;118100;;0;0
119152;119153;0;0;0;GJ 3618;GJ 3618;GJ 3618/HYG 118699/MN 119153;;;;Car;10,742414;-61,193586;-340,24;1614,54;0,0;4,4883;13,92;;;1,82;m;4,7424198526e-05;-2,046475;0,699423;-3,932885;1,692e-05;1,696e-05;-2,674e-05;118704;;0;0
